statusId | label
8|test
statusId|sensorName|value|timestamp
8|3-axis Accelerometer|[6.943185,-4.3478703,12.564771]|1485609776522
8|3-axis Accelerometer|[7.3645644,-3.3806129,12.449849]|1485609776532
8|3-axis Accelerometer|[7.6614456,-3.6774938,11.664551]|1485609776542
8|3-axis Accelerometer|[7.776367,-3.6870706,10.70687]|1485609776552
8|3-axis Accelerometer|[7.7572136,-3.0071173,10.141838]|1485609776561
8|3-axis Accelerometer|[7.6231384,-2.432509,9.643845]|1485609776571
8|3-axis Accelerometer|[7.4986396,-2.2409728,9.184157]|1485609776581
8|3-axis Accelerometer|[7.144298,-2.6719291,8.6095495]|1485609776591
8|3-axis Accelerometer|[6.4164605,-2.882619,8.39886]|1485609776600
8|3-axis Accelerometer|[5.8801594,-3.7732618,8.054094]|1485609776610
8|3-axis Accelerometer|[4.9416323,-4.098873,8.207323]|1485609776621
8|3-axis Accelerometer|[4.7788267,-3.6296098,7.7093296]|1485609776631
8|3-axis Accelerometer|[5.1235914,-3.6008794,7.441179]|1485609776641
8|3-axis Accelerometer|[5.6407394,-3.9456444,7.383718]|1485609776650
8|3-axis Accelerometer|[5.93762,-3.7828386,7.1826053]|1485609776660
8|3-axis Accelerometer|[6.588843,-3.7541082,6.991069]|1485609776670
8|3-axis Accelerometer|[7.2113357,-3.9456444,6.847417]|1485609776680
8|3-axis Accelerometer|[7.565677,-4.0892963,7.029376]|1485609776690
8|3-axis Accelerometer|[7.642292,-4.5872903,7.747637]|1485609776699
8|3-axis Accelerometer|[7.5082164,-5.90889,8.973468]|1485609776709
8|3-axis Accelerometer|[7.575254,-7.335834,9.481039]|1485609776719
8|3-axis Accelerometer|[7.9966335,-8.734048,9.902418]|1485609776730
8|3-axis Accelerometer|[8.274361,-9.902418,10.103531]|1485609776739
8|3-axis Accelerometer|[8.628703,-10.093954,10.582372]|1485609776749
8|3-axis Accelerometer|[9.222465,-9.730036,11.291056]|1485609776759
8|3-axis Accelerometer|[10.486604,-9.490616,12.239159]|1485609776769
8|3-axis Accelerometer|[11.884817,-9.461885,13.493721]|1485609776779
8|3-axis Accelerometer|[12.564771,-9.251195,14.882358]|1485609776788
8|3-axis Accelerometer|[13.369223,-8.963891,16.184803]|1485609776798
8|3-axis Accelerometer|[14.106636,-8.848969,17.075447]|1485609776808
8|3-axis Accelerometer|[14.719552,-8.734048,17.592594]|1485609776818
8|3-axis Accelerometer|[15.02601,-8.226477,17.764977]|1485609776828
8|3-axis Accelerometer|[15.2367,-7.747637,17.477673]|1485609776838
8|3-axis Accelerometer|[15.437813,-7.6231384,17.266983]|1485609776848
8|3-axis Accelerometer|[15.380352,-7.1634517,17.630901]|1485609776858
8|3-axis Accelerometer|[14.987702,-6.291962,18.071434]|1485609776868
8|3-axis Accelerometer|[14.393941,-5.90889,18.26297]|1485609776877
8|3-axis Accelerometer|[13.369223,-5.793968,18.464083]|1485609776887
8|3-axis Accelerometer|[12.430696,-5.793968,18.53112]|1485609776897
8|3-axis Accelerometer|[12.0093155,-5.209783,18.569427]|1485609776907
8|3-axis Accelerometer|[11.903971,-4.4723687,18.53112]|1485609776917
8|3-axis Accelerometer|[11.9614315,-4.1180267,18.579004]|1485609776926
8|3-axis Accelerometer|[12.038046,-3.5529952,18.607735]|1485609776936
8|3-axis Accelerometer|[12.095507,-2.4037786,18.330008]|1485609776947
8|3-axis Accelerometer|[12.181698,-1.7046716,18.071434]|1485609776957
8|3-axis Accelerometer|[11.923124,-1.2641385,17.697939]|1485609776966
8|3-axis Accelerometer|[11.204864,-1.0247183,17.764977]|1485609776977
8|3-axis Accelerometer|[10.390836,-1.0151415,18.511967]|1485609776986
8|3-axis Accelerometer|[9.615114,-0.94810385,19.632454]|1485609776996
8|3-axis Accelerometer|[9.394848,-0.8331822,20.06341]|1485609777006
8|3-axis Accelerometer|[9.509769,-0.62249243,20.03468]|1485609777015
8|3-axis Accelerometer|[9.299079,0.18195933,19.517532]|1485609777025
8|3-axis Accelerometer|[9.174581,1.13964,18.387468]|1485609777035
8|3-axis Accelerometer|[9.050082,1.8770541,17.343597]|1485609777046
8|3-axis Accelerometer|[8.66701,2.2505496,15.964537]|1485609777055
8|3-axis Accelerometer|[8.034941,2.4037786,14.60463]|1485609777065
8|3-axis Accelerometer|[7.422025,2.7581203,13.263878]|1485609777075
8|3-axis Accelerometer|[6.5984197,3.0358477,12.334928]|1485609777085
8|3-axis Accelerometer|[5.391742,3.3423057,11.980585]|1485609777095
8|3-axis Accelerometer|[4.232949,3.217807,11.511322]|1485609777104
8|3-axis Accelerometer|[3.2848446,2.96881,11.137826]|1485609777114
8|3-axis Accelerometer|[2.2409728,2.6910827,10.840945]|1485609777124
8|3-axis Accelerometer|[1.1204864,2.6910827,10.247183]|1485609777134
8|3-axis Accelerometer|[0.4213795,3.2561142,9.557653]|1485609777144
8|3-axis Accelerometer|[-0.047884032,3.8881836,9.32781]|1485609777154
8|3-axis Accelerometer|[-0.08619126,4.2521024,9.3661175]|1485609777164
8|3-axis Accelerometer|[-0.2681506,4.7884035,9.375694]|1485609777174
8|3-axis Accelerometer|[-0.641646,5.2959743,9.174581]|1485609777183
8|3-axis Accelerometer|[-0.9959879,5.363012,9.040505]|1485609777193
8|3-axis Accelerometer|[-1.2162545,4.9895163,8.935161]|1485609777203
8|3-axis Accelerometer|[-1.5610195,4.1371803,8.63828]|1485609777213
8|3-axis Accelerometer|[-2.2026656,3.3135753,8.130709]|1485609777223
8|3-axis Accelerometer|[-2.231396,2.7389667,7.2687964]|1485609777232
8|3-axis Accelerometer|[-2.2984335,2.4708161,6.540959]|1485609777242
8|3-axis Accelerometer|[-2.0207062,2.2026656,5.947197]|1485609777253
8|3-axis Accelerometer|[-1.4748282,1.6472107,5.1906295]|1485609777263
8|3-axis Accelerometer|[-1.2737153,1.0726024,4.606444]|1485609777273
8|3-axis Accelerometer|[-0.842759,1.1300632,3.8594532]|1485609777282
8|3-axis Accelerometer|[-0.82360536,0.6799533,3.2944214]|1485609777294
8|3-axis Accelerometer|[-1.1109096,-0.1436521,3.169923]|1485609777302
8|3-axis Accelerometer|[-1.3599066,-1.0055647,2.920926]|1485609777312
8|3-axis Accelerometer|[-1.7142484,-1.4460979,2.6144683]|1485609777322
8|3-axis Accelerometer|[-1.9153614,-1.6472107,2.3175871]|1485609777331
8|3-axis Accelerometer|[-2.135628,-2.0494366,1.9249382]|1485609777341
8|3-axis Accelerometer|[-2.135628,-2.3175871,1.340753]|1485609777351
8|3-axis Accelerometer|[-1.9440918,-2.5474305,0.89064306]|1485609777362
8|3-axis Accelerometer|[-1.8100165,-2.585738,0.842759]|1485609777371
8|3-axis Accelerometer|[-1.9536686,-2.3750482,0.91937345]|1485609777381
8|3-axis Accelerometer|[-2.030283,-2.336741,0.47884035]|1485609777391
8|3-axis Accelerometer|[-2.1643584,-2.4037786,-0.18195933]|1485609777401
8|3-axis Accelerometer|[-2.2888567,-2.4037786,-0.63206923]|1485609777411
8|3-axis Accelerometer|[-2.2601264,-2.2888567,-0.8714894]|1485609777420
8|3-axis Accelerometer|[-2.1068976,-2.1643584,-0.81402856]|1485609777430
8|3-axis Accelerometer|[-2.0494366,-2.2218192,-0.5554548]|1485609777440
8|3-axis Accelerometer|[-2.1452048,-2.3654714,-0.24899697]|1485609777450
8|3-axis Accelerometer|[-2.1068976,-2.6048915,-0.05746084]|1485609777460
8|3-axis Accelerometer|[-1.9440918,-3.3135753,-0.11492168]|1485609777470
8|3-axis Accelerometer|[-1.5993267,-4.060566,-0.6799533]|1485609777480
8|3-axis Accelerometer|[-1.2641385,-4.606444,-1.4652514]|1485609777490
8|3-axis Accelerometer|[-1.1492168,-5.0374002,-1.8770541]|1485609777499
8|3-axis Accelerometer|[-0.94810385,-4.8937483,-2.384625]|1485609777509
8|3-axis Accelerometer|[-0.89064306,-4.4723687,-3.0071173]|1485609777519
