# Accelerometer Data File
# Started @Mon Jan 16 23:01:50 GMT+05:30 2017
#
#
# sensor Vendor: Kionix
# sensor Name: 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity  filtered out
# Accuracy: HIGH
0.016 0.022 0.037 10
-0.028 0.028 0.024 10
-0.034 -0.051 -0.072 9
-0.013 0.005 0.029 10
-0.02 -0.003 -0.025 10
-0.01 0.013 0.02 10
-0.017 0.029 -0.007 10
-0.015 0.009 0.062 10
-0.04 0.017 0.03 10
-0.001 0.032 0.035 10
0.058 0.012 -0.028 10
0.044 -0.023 0.035 9
-0.011 -0.012 0.022 10
0.032 -0.002 0.055 10
0.037 -0.019 0.049 10
0.008 -0.017 -0.024 10
0.016 0.009 -0.03 10
-0.02 -0.077 -0.079 10
-0.026 -0.052 -0.054 9
0.036 -0.038 -0.057 10
-0.001 0.0 -0.034 10
-0.018 -0.008 -0.03 10
-0.025 0.009 -0.045 10
-0.023 0.008 0.019 10
-0.003 0.016 0.017 10
0.022 0.049 0.059 10
0.003 0.044 0.018 9
0.002 0.074 0.059 11
0.002 -0.002 0.019 9
-0.032 0.015 0.017 10
-0.037 0.022 0.041 10
-0.025 0.02 0.08 10
-0.031 0.018 0.003 10
-0.028 -0.026 0.011 10
-0.016 -0.049 -0.058 10
0.019 -0.079 -0.104 9
0.008 -0.019 -0.007 10
0.033 -0.035 -0.006 10
-0.012 -0.048 -0.049 10
-0.011 0.016 0.016 10
-0.001 0.032 -0.028 10
0.007 0.028 -0.008 10
0.04 0.017 0.044 10
0.01 0.041 -0.012 10
0.009 0.011 -0.028 9
-0.025 -0.032 -0.033 10
0.002 0.004 0.038 10
0.011 0.021 0.051 10
-0.015 0.045 -0.022 10
-0.005 0.023 0.031 10
-0.005 0.021 0.011 10
-0.013 0.019 0.01 9
-0.029 -0.017 0.034 10
-0.008 -0.024 0.031 10
0.026 0.029 -0.006 10
0.041 0.035 0.02 10
0.062 0.014 0.018 10
0.039 0.013 -0.026 10
0.009 -0.005 -0.006 10
-0.017 0.021 -0.023 10
-0.006 -0.015 -0.012 9
0.028 -0.031 -0.002 10
0.025 0.015 -0.01 10
-0.046 -0.012 -0.035 10
-0.041 -0.062 -0.032 10
-0.02 -0.013 -0.02 10
-0.043 0.005 0.0 10
-0.039 -0.003 0.016 10
-0.018 -0.02 -0.036 9
0.0 -0.027 -0.007 10
0.017 0.009 0.036 10
0.024 0.008 0.032 10
0.004 -0.026 -0.004 10
